id,ID_Lahan,kab,kec,desa,kelas_rs,latitude_l
1,1403001,14,030,010,6,"6°38'48.674""S,107°18'0.370""E"
2,1403002,14,030,003,3,"6°39'41.321""S,107°21'11.525""E"
3,1403003,14,030,009,3,"6°39'10.121""S,107°19'50.522""E"
4,1403004,14,030,012,7,"6°37'13.322""S,107°20'49.214""E"
5,1403005,14,030,005,7,"6°39'8.958""S,107°21'25.801""E"
6,1403006,14,030,004,4,"6°39'35.642""S,107°21'37.603""E"
7,1403007,14,030,006,7,"6°37'34.360""S,107°20'54.615""E"
8,1403008,14,030,002,6,"6°40'40.791""S,107°20'2.702""E"
9,1403009,14,030,013,2,"6°35'23.883""S,107°19'15.779""E"
10,1403010,14,030,012,2,"6°36'22.819""S,107°21'47.288""E"
11,1403011,14,030,010,7,"6°38'5.737""S,107°19'4.962""E"
12,1403012,14,030,010,7,"6°38'38.407""S,107°19'0.028""E"
13,1403013,14,030,002,4,"6°40'14.282""S,107°20'58.494""E"
14,1403014,14,030,001,6,"6°40'24.927""S,107°19'19.559""E"
15,1403015,14,030,013,5,"6°34'50.520""S,107°19'25.834""E"
16,1403016,14,030,008,2,"6°37'44.931""S,107°19'53.467""E"
17,1403017,14,030,011,5,"6°36'32.545""S,107°20'36.802""E"
18,1403018,14,030,010,6,"6°39'45.861""S,107°18'24.214""E"
19,1403019,14,030,010,4,"6°38'27.154""S,107°18'43.296""E"
20,1403020,14,030,003,7,"6°40'27.735""S,107°20'59.630""E"
21,1403021,14,030,011,5,"6°37'6.008""S,107°20'3.550""E"
22,1403022,14,030,007,3,"6°38'38.886""S,107°20'15.761""E"
23,1403023,14,030,010,5,"6°38'40.506""S,107°18'24.747""E"
24,1403024,14,030,002,4,"6°40'27.522""S,107°20'21.402""E"
25,1403025,14,030,009,2,"6°38'39.434""S,107°19'32.303""E"
26,1403026,14,030,010,6,"6°39'8.451""S,107°18'16.145""E"
27,1403027,14,030,012,4,"6°37'39.685""S,107°20'39.111""E"
28,1403028,14,030,013,2,"6°34'51.831""S,107°18'47.769""E"
29,1403029,14,030,011,5,"6°35'47.080""S,107°19'6.401""E"
30,1403030,14,030,002,4,"6°40'4.902""S,107°20'9.773""E"
31,1403031,14,030,012,5,"6°35'52.866""S,107°21'25.450""E"
32,1403032,14,030,002,3,"6°39'27.096""S,107°20'11.149""E"
33,1403033,14,030,011,3,"6°37'0.358""S,107°20'24.456""E"
34,1403034,14,030,001,2,"6°39'51.198""S,107°19'19.076""E"
35,1403035,14,030,010,6,"6°38'36.708""S,107°18'11.778""E"
36,1403036,14,030,012,7,"6°37'9.480""S,107°20'59.705""E"
37,1403037,14,030,008,4,"6°37'53.976""S,107°20'3.161""E"
38,1403038,14,030,002,2,"6°40'31.287""S,107°20'34.430""E"
39,1403039,14,030,006,2,"6°38'2.702""S,107°21'13.913""E"
40,1403040,14,030,002,5,"6°40'26.315""S,107°20'31.364""E"
41,1403041,14,030,010,6,"6°38'38.693""S,107°18'10.747""E"
42,1403042,14,030,010,6,"6°39'23.583""S,107°18'25.521""E"
43,1403043,14,030,005,7,"6°38'53.273""S,107°20'52.289""E"
44,1403044,14,030,006,4,"6°38'33.092""S,107°21'36.209""E"
45,1403045,14,030,003,4,"6°40'7.401""S,107°21'18.941""E"
46,1403046,14,030,013,5,"6°35'27.881""S,107°19'24.970""E"
47,1403047,14,030,012,4,"6°36'4.254""S,107°20'34.670""E"
48,1403048,14,030,010,5,"6°36'56.586""S,107°18'50.974""E"
49,1403049,14,030,011,5,"6°36'55.182""S,107°20'29.775""E"
50,1403050,14,030,010,3,"6°38'52.242""S,107°19'2.834""E"
51,1403051,14,030,002,6,"6°40'36.355""S,107°19'51.258""E"
52,1403052,14,030,003,3,"6°39'44.093""S,107°21'14.690""E"
53,1403053,14,030,008,3,"6°39'21.959""S,107°20'11.799""E"
54,1403054,14,030,012,7,"6°37'16.235""S,107°20'58.199""E"
55,1403055,14,030,013,2,"6°35'30.209""S,107°19'44.660""E"
56,1403056,14,030,008,2,"6°37'49.826""S,107°19'36.328""E"
57,1403057,14,030,009,2,"6°39'22.937""S,107°19'54.841""E"
58,1403058,14,030,010,6,"6°39'39.958""S,107°18'17.635""E"
59,1403059,14,030,012,4,"6°37'32.471""S,107°20'48.053""E"
60,1403060,14,030,010,6,"6°38'18.393""S,107°18'30.787""E"
61,1403061,14,030,005,3,"6°39'18.556""S,107°20'49.126""E"
62,1403062,14,030,009,3,"6°38'10.119""S,107°19'22.340""E"
63,1403063,14,030,011,5,"6°37'22.499""S,107°19'45.866""E"
64,1403064,14,030,002,5,"6°40'15.996""S,107°20'17.019""E"
65,1403065,14,030,008,7,"6°37'23.822""S,107°20'13.791""E"
66,1403066,14,030,001,6,"6°40'9.846""S,107°19'9.007""E"
67,1403067,14,030,010,3,"6°38'52.133""S,107°18'55.342""E"
68,1403068,14,030,012,2,"6°37'16.234""S,107°20'39.260""E"
69,1403069,14,030,008,3,"6°39'17.378""S,107°20'16.589""E"
70,1403070,14,030,011,4,"6°35'52.829""S,107°19'53.828""E"
71,1403071,14,030,008,7,"6°37'48.851""S,107°20'17.320""E"
72,1403072,14,030,006,7,"6°38'1.786""S,107°21'23.547""E"