KODE KECAMATAN,NAMA KECAMATAN,LAT_LONG,KODE TIM,ID
81,KIARAPEDES,"6°35'2.084""S,107°33'3.315""E",51,1408137
81,KIARAPEDES,"6°41'3.471""S,107°34'34.725""E",51,1408138
81,KIARAPEDES,"6°35'45.355""S,107°34'20.604""E",51,1408139
81,KIARAPEDES,"6°35'40.827""S,107°33'57.782""E",51,1408140
81,KIARAPEDES,"6°39'5.300""S,107°34'52.708""E",51,1408141
81,KIARAPEDES,"6°39'3.247""S,107°33'31.935""E",51,1408142
81,KIARAPEDES,"6°36'29.882""S,107°33'41.634""E",51,1408143
81,KIARAPEDES,"6°40'14.024""S,107°35'37.031""E",51,1408144
81,KIARAPEDES,"6°37'21.653""S,107°34'25.890""E",51,1408145
81,KIARAPEDES,"6°39'35.561""S,107°33'57.846""E",51,1408146
81,KIARAPEDES,"6°38'41.851""S,107°34'36.149""E",51,1408147
81,KIARAPEDES,"6°39'18.141""S,107°35'37.188""E",51,1408148
81,KIARAPEDES,"6°38'19.123""S,107°34'51.881""E",51,1408149
81,KIARAPEDES,"6°37'12.967""S,107°33'27.142""E",51,1408150
81,KIARAPEDES,"6°36'33.250""S,107°34'36.513""E",51,1408151
81,KIARAPEDES,"6°38'55.540""S,107°34'31.652""E",51,1408152
81,KIARAPEDES,"6°37'57.452""S,107°32'37.982""E",51,1408153
81,KIARAPEDES,"6°39'14.913""S,107°33'3.737""E",51,1408154
81,KIARAPEDES,"6°36'26.658""S,107°34'18.157""E",51,1408155
81,KIARAPEDES,"6°40'32.221""S,107°35'4.818""E",51,1408156
81,KIARAPEDES,"6°39'46.467""S,107°35'46.825""E",51,1408157
81,KIARAPEDES,"6°39'4.519""S,107°34'21.161""E",51,1408158
81,KIARAPEDES,"6°38'21.003""S,107°32'59.034""E",51,1408159
81,KIARAPEDES,"6°37'13.338""S,107°33'35.123""E",51,1408160
110,CAMPAKA,"6°33'16.987""S,107°30'2.508""E",51,1411001
110,CAMPAKA,"6°31'1.567""S,107°30'24.428""E",51,1411002
110,CAMPAKA,"6°29'7.095""S,107°31'21.071""E",51,1411003
110,CAMPAKA,"6°25'16.722""S,107°31'43.985""E",51,1411004
110,CAMPAKA,"6°27'1.038""S,107°29'58.214""E",51,1411005
110,CAMPAKA,"6°32'2.568""S,107°29'24.903""E",51,1411006
110,CAMPAKA,"6°31'4.774""S,107°29'21.542""E",51,1411007
110,CAMPAKA,"6°28'20.361""S,107°31'16.340""E",51,1411008
110,CAMPAKA,"6°27'34.106""S,107°31'22.372""E",51,1411009
110,CAMPAKA,"6°28'3.635""S,107°31'44.243""E",51,1411010
110,CAMPAKA,"6°26'52.810""S,107°32'32.080""E",51,1411011
110,CAMPAKA,"6°32'3.421""S,107°29'25.658""E",51,1411012
110,CAMPAKA,"6°32'45.690""S,107°30'17.352""E",51,1411013
110,CAMPAKA,"6°27'44.760""S,107°29'50.073""E",51,1411014
110,CAMPAKA,"6°30'38.430""S,107°30'14.505""E",51,1411015
110,CAMPAKA,"6°27'49.367""S,107°31'45.626""E",51,1411016
110,CAMPAKA,"6°32'9.290""S,107°30'28.704""E",51,1411017
110,CAMPAKA,"6°32'21.135""S,107°29'28.926""E",51,1411018
110,CAMPAKA,"6°32'48.150""S,107°29'56.870""E",51,1411019
110,CAMPAKA,"6°27'41.002""S,107°31'9.926""E",51,1411020
110,CAMPAKA,"6°27'56.712""S,107°29'42.142""E",51,1411021
110,CAMPAKA,"6°28'59.400""S,107°31'32.194""E",51,1411022
110,CAMPAKA,"6°28'43.855""S,107°31'50.281""E",51,1411023
110,CAMPAKA,"6°30'53.753""S,107°30'23.120""E",51,1411024
110,CAMPAKA,"6°25'8.837""S,107°31'44.054""E",51,1411025
111,CIBATU,"6°29'41.816""S,107°33'35.375""E",53,1411119
111,CIBATU,"6°32'6.629""S,107°32'36.156""E",53,1411120
111,CIBATU,"6°32'25.707""S,107°32'11.795""E",53,1411121
111,CIBATU,"6°31'9.339""S,107°30'51.997""E",53,1411122
111,CIBATU,"6°29'55.151""S,107°31'44.519""E",53,1411123
111,CIBATU,"6°34'13.387""S,107°33'44.769""E",53,1411124
111,CIBATU,"6°33'29.594""S,107°31'57.801""E",53,1411125
111,CIBATU,"6°30'27.590""S,107°30'58.605""E",53,1411126
111,CIBATU,"6°30'58.862""S,107°32'4.534""E",53,1411127
111,CIBATU,"6°29'16.801""S,107°33'1.883""E",53,1411128
111,CIBATU,"6°28'56.144""S,107°33'1.871""E",53,1411129
111,CIBATU,"6°33'45.662""S,107°33'11.532""E",53,1411130
111,CIBATU,"6°31'43.789""S,107°33'35.463""E",53,1411131
111,CIBATU,"6°31'40.804""S,107°30'40.850""E",53,1411132
111,CIBATU,"6°33'46.061""S,107°31'43.791""E",53,1411133
111,CIBATU,"6°34'18.874""S,107°31'41.787""E",53,1411134
111,CIBATU,"6°33'42.321""S,107°31'22.690""E",53,1411135
111,CIBATU,"6°30'32.836""S,107°33'9.827""E",53,1411136
111,CIBATU,"6°31'5.617""S,107°30'42.654""E",53,1411137
111,CIBATU,"6°30'16.864""S,107°31'4.558""E",53,1411138
111,CIBATU,"6°34'5.202""S,107°32'45.875""E",53,1411139
111,CIBATU,"6°30'13.489""S,107°33'16.643""E",53,1411140
111,CIBATU,"6°31'53.571""S,107°31'46.869""E",53,1411141
111,CIBATU,"6°30'21.641""S,107°33'17.296""E",53,1411142
111,CIBATU,"6°30'58.141""S,107°31'26.910""E",53,1411143
111,CIBATU,"6°30'36.282""S,107°32'53.602""E",53,1411144
111,CIBATU,"6°30'28.197""S,107°30'53.299""E",53,1411145
111,CIBATU,"6°28'28.635""S,107°33'23.243""E",53,1411146
111,CIBATU,"6°31'22.387""S,107°32'14.359""E",53,1411147
111,CIBATU,"6°29'59.218""S,107°31'5.120""E",53,1411148
111,CIBATU,"6°33'56.501""S,107°31'28.171""E",53,1411149
111,CIBATU,"6°31'21.181""S,107°33'20.090""E",53,1411150
111,CIBATU,"6°31'6.233""S,107°33'18.920""E",53,1411151
111,CIBATU,"6°29'29.791""S,107°32'10.973""E",53,1411152
111,CIBATU,"6°30'47.516""S,107°31'18.011""E",53,1411153
111,CIBATU,"6°29'16.050""S,107°33'36.017""E",53,1411154
111,CIBATU,"6°32'9.038""S,107°33'13.779""E",53,1411155
111,CIBATU,"6°30'7.400""S,107°32'23.170""E",53,1411156
111,CIBATU,"6°28'27.668""S,107°33'25.936""E",53,1411157
111,CIBATU,"6°30'3.590""S,107°31'29.866""E",53,1411158
111,CIBATU,"6°30'37.206""S,107°30'59.639""E",53,1411159
111,CIBATU,"6°30'45.084""S,107°33'5.999""E",53,1411160
112,BUNGURSARI,"6°25'37.140""S,107°29'54.369""E",53,1411201
112,BUNGURSARI,"6°25'56.687""S,107°29'50.539""E",53,1411202
112,BUNGURSARI,"6°30'35.084""S,107°27'53.101""E",53,1411203
112,BUNGURSARI,"6°27'41.680""S,107°27'53.442""E",53,1411204
112,BUNGURSARI,"6°27'26.955""S,107°28'16.072""E",53,1411205
112,BUNGURSARI,"6°25'32.559""S,107°30'2.762""E",53,1411206
112,BUNGURSARI,"6°29'41.327""S,107°27'51.655""E",53,1411207
112,BUNGURSARI,"6°25'51.504""S,107°30'1.109""E",54,1411210
112,BUNGURSARI,"6°28'36.811""S,107°28'8.508""E",54,1411211
112,BUNGURSARI,"6°26'57.811""S,107°27'15.668""E",54,1411212
112,BUNGURSARI,"6°28'6.016""S,107°29'19.135""E",54,1411213
112,BUNGURSARI,"6°27'1.128""S,107°29'9.283""E",54,1411214
112,BUNGURSARI,"6°29'57.719""S,107°28'5.861""E",54,1411215
112,BUNGURSARI,"6°28'59.000""S,107°27'59.417""E",54,1411216
112,BUNGURSARI,"6°27'59.770""S,107°28'42.552""E",54,1411217
112,BUNGURSARI,"6°27'4.882""S,107°26'56.627""E",54,1411218
112,BUNGURSARI,"6°27'41.603""S,107°29'13.808""E",54,1411219
112,BUNGURSARI,"6°25'37.309""S,107°30'0.393""E",54,1411220
112,BUNGURSARI,"6°27'4.443""S,107°26'9.401""E",54,1411221
112,BUNGURSARI,"6°28'45.709""S,107°28'48.698""E",54,1411222
112,BUNGURSARI,"6°28'49.777""S,107°28'28.650""E",54,1411223
112,BUNGURSARI,"6°25'46.707""S,107°27'40.553""E",54,1411224
112,BUNGURSARI,"6°29'2.712""S,107°29'11.715""E",54,1411225
112,BUNGURSARI,"6°29'31.560""S,107°27'50.294""E",54,1411226
112,BUNGURSARI,"6°28'54.539""S,107°28'16.451""E",54,1411227
112,BUNGURSARI,"6°29'35.709""S,107°27'47.582""E",54,1411228
112,BUNGURSARI,"6°25'11.970""S,107°30'51.664""E",54,1411229
112,BUNGURSARI,"6°28'35.744""S,107°27'47.740""E",54,1411230
112,BUNGURSARI,"6°28'26.758""S,107°29'18.763""E",54,1411231
112,BUNGURSARI,"6°25'26.191""S,107°31'7.441""E",54,1411232
112,BUNGURSARI,"6°28'55.460""S,107°28'12.664""E",54,1411233
112,BUNGURSARI,"6°29'48.230""S,107°28'44.166""E",54,1411234
112,BUNGURSARI,"6°27'59.430""S,107°29'18.878""E",54,1411235
112,BUNGURSARI,"6°29'30.676""S,107°28'3.763""E",54,1411236
112,BUNGURSARI,"6°25'51.836""S,107°30'22.964""E",54,1411237
112,BUNGURSARI,"6°29'29.646""S,107°27'44.861""E",54,1411238
112,BUNGURSARI,"6°25'16.459""S,107°29'34.172""E",54,1411239
112,BUNGURSARI,"6°27'3.536""S,107°28'56.658""E",54,1411240
112,BUNGURSARI,"6°25'31.732""S,107°30'2.765""E",54,1411241
112,BUNGURSARI,"6°25'40.200""S,107°27'42.256""E",54,1411242
112,BUNGURSARI,"6°28'12.607""S,107°29'4.787""E",54,1411243
112,BUNGURSARI,"6°29'11.095""S,107°28'30.770""E",54,1411244
112,BUNGURSARI,"6°25'28.117""S,107°29'53.845""E",54,1411245
112,BUNGURSARI,"6°28'28.453""S,107°29'2.485""E",54,1411246
112,BUNGURSARI,"6°25'0.018""S,107°30'28.845""E",54,1411247
112,BUNGURSARI,"6°28'20.675""S,107°27'56.560""E",54,1411248
112,BUNGURSARI,"6°29'0.062""S,107°28'16.301""E",54,1411249
112,BUNGURSARI,"6°28'30.861""S,107°27'41.691""E",54,1411250
112,BUNGURSARI,"6°26'49.544""S,107°27'21.772""E",54,1411251
112,BUNGURSARI,"6°28'57.076""S,107°29'15.510""E",54,1411252
112,BUNGURSARI,"6°28'52.628""S,107°28'13.280""E",54,1411253
112,BUNGURSARI,"6°28'54.388""S,107°28'18.536""E",54,1411254
112,BUNGURSARI,"6°26'24.390""S,107°30'31.268""E",54,1411255
112,BUNGURSARI,"6°24'50.165""S,107°30'26.583""E",54,1411256
112,BUNGURSARI,"6°29'11.581""S,107°28'20.077""E",54,1411257
112,BUNGURSARI,"6°25'21.126""S,107°29'54.382""E",54,1411258
10,JATILUHUR,"6°31'12.448""S,107°23'16.089""E",999,1401051
10,JATILUHUR,"6°33'24.136""S,107°26'3.061""E",999,1401052
11,SUKASARI,"6°33'46.694""S,107°17'43.089""E",999,1401143
11,SUKASARI,"6°35'59.652""S,107°17'30.274""E",999,1401144
20,MANIIS,"6°41'18.423""S,107°15'14.333""E",999,1402035
20,MANIIS,"6°42'24.394""S,107°18'49.336""E",999,1402036
40,PLERED,"6°37'20.420""S,107°23'39.054""E",999,1404027
40,PLERED,"6°40'19.904""S,107°23'46.985""E",999,1404028
50,SUKATANI,"6°37'49.727""S,107°27'13.333""E",999,1405019
50,SUKATANI,"6°35'0.771""S,107°25'20.201""E",999,1405020
60,DARANGDAN,"6°41'47.154""S,107°26'58.315""E",999,1406011
60,DARANGDAN,"6°40'34.507""S,107°22'54.834""E",999,1406012
70,BOJONG,"6°40'59.550""S,107°29'48.359""E",999,1407002
70,BOJONG,"6°44'37.314""S,107°33'21.212""E",999,1407003
70,BOJONG,"6°44'41.418""S,107°33'31.744""E",999,1407053
70,BOJONG,"6°43'11.624""S,107°31'33.319""E",999,1407054
80,WANAYASA,"6°40'57.491""S,107°32'21.371""E",999,1408044
80,WANAYASA,"6°41'48.892""S,107°34'16.674""E",999,1408045
81,KIARAPEDES,"6°38'20.063""S,107°33'59.423""E",999,1408135
81,KIARAPEDES,"6°38'0.094""S,107°32'35.844""E",999,1408136
110,CAMPAKA,"6°25'15.646""S,107°31'43.986""E",999,1411026
110,CAMPAKA,"6°27'52.463""S,107°29'38.852""E",999,1411027
111,CIBATU,"6°30'38.512""S,107°32'49.046""E",999,1411117
111,CIBATU,"6°30'12.218""S,107°33'14.492""E",999,1411118
112,BUNGURSARI,"6°28'41.274""S,107°29'14.444""E",999,1411208
112,BUNGURSARI,"6°25'23.763""S,107°29'42.786""E",999,1411209
112,BUNGURSARI,"6°29'24.508""S,107°27'45.051""E",999,1411259
112,BUNGURSARI,"6°25'33.817""S,107°29'48.516""E",999,1411260
